num,score,jixiong,short,brief,indication,foundation,family,health,future,fortune,description
27,55,半吉,欲望无止，自我强烈，多受毁谤，尚可成功。,增长,"欲望天上镜，宜静待时候的数
次吉祥运（表示多少有些障碍，但能获得吉运）。
刚情运（性刚固执、意气用事）。",天官、将军、师长、学者、文昌、凶恶（短命）、破财、废疾。,六亲不得，兄弟疏远。（或六亲、兄弟永远别离有之）。,应注意肺疾、胃疾、心脏病、刑罚、短命。,一成一败、一盛一衰、惟靠谨慎、可守成功。,合法收入，令人眼红，惟靠低调、可以发财。,"(1)自我心强，多受诽谤和攻击，而易致失败，所谓难运，大多为半途中夭折，开始以其的智谋，努力奋斗得名利，待过中年，势渐趋大，内外酿出不和，难以发达到老，假如自身温顺、可保平安。
(2)个性急又过于爱面子，早年运尚佳，中年运后渐渐衰微。自尊心颇强，一生不愿向人低头，自视高，很容易眼高手低，由于心智早熟，生性聪明伶俐，我心太强，因之早年能得短暂风发，但中年之后易因得意忘形而招致不顺，以致挫折，心灰意冷，丧失斗志，务宜修心养性，保持人和，处事不可大意，即可保持幸运之延续。虽待人热心，却得不到感激，事业一向平顺，但一旦失败，却又不敢面对现实，需要很长时间才能东山再起。"
28,55,凶,遭难之数，豪杰气概，四海漂泊，终世浮躁。,阔水浮萍,"豪气生离的行藏无定数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
孤独运（妻不利夫或夫不利妻）。
刚情运（性刚固执、意气用事）。",领袖（头）、将星、官星、学士、红艳、灾恶。,亲情多忌怨、兄弟少联络、子女别离。,三才不善者病灾、伤灾、废疾、发狂，三才善良者无大害。,鱼临旱地、难逃恶运、此数大凶、不如更名。,名虽可得，利则难获，危机四伏、清高无祸。,"(1)每遭难运，有一种豪杰气概，但难免非难诽谤，时有危难袭来，而至伤害，或丧失配偶，相克子孙，也可能有自别亲者，总之大都有祸乱。争论不合、逆难、刑罚、官司，刑伤等，灾祸相接，终是劳苦，妇女有此数者，多限于孤寡，和难成家的运格，总之，家庭离乱。（注；此数为男人官运数）。
(2)一生中有一意孤行的倾向，心灵空虚容易受伤，因此会留下深刻阴影。一生中物质运丰盛不虞匮乏，很容易受亲友的连累与误解，以致造成情绪上的不安，由于生性豪爽，因此比较容易受流言中伤，引起误解而招来反感，家族六亲缘微薄。"
29,85,半吉,智谋优秀，财力归集，名闻海内，成就大业。,不平(智谋),"急舟顺展的大立功数
首领运（智慧仁勇、立上位、能领导众人）。
富贵运（多钱财、富贵、白手可获巨财）。
次吉祥运（表示多少有些障碍，但能获得吉运）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。",天官、太极、君臣、天厨、将星、财帛、文昌、深谋、富翁、灾厄、破灭、废疾。,乏祖力，地格为火时，有乏子息（灭），或不合。,先天人格五行相生于后天三才人格善良者，未来数理大吉者，可望安康，不善良者有伤残或短命之虑。,如龙得水、青云直上、智谋历进、才略奏功。,享受祖荫余德，自获天佑，无荫无德，必遭破灭。,"(1)智谋优异，奏功受福之格，财力、活动能力具备，成就大业之兆，但不足不平的念头不断，任意从事，欲望无止境，多易弄巧成拙，至于妇女，都流入男性、或者造出荒唐的猜疑之灾，切要慎戒之。（富极生悲、应注意弄巧成拙、视钱如粪土则安之。此数理为伤残或短命数理）
(2)为人聪明能干，特色是英敏果决，善于领导，易得功名。虽自视高，但负责任，能得部属尊敬及上司器重，做事严己律己，可成众人表率，早享名望和地位。为人智谋兼备，具有崇高理想，永远都是精力旺盛，但因不能满足欲望，一意想攀登高峰，以致一落千丈。故知足为乐，谨慎才能无忧。"
30,55,半吉,沉浮不定，凶吉难变，若明若暗，大成大败。,非运,"绝境逢生的运途分岐数
次吉祥运（表示多少有些障碍，但能获得吉运）。",官星、将星、文昌、豪放、红艳、灾厄。,亲情不亲，夫妻不相合，难同白头。,刑罚、外伤、废疾、急祸。,凶吉参半、得失相半、投机取巧、如赛一样。,有财自来，官运不错，事业奔波，有始无终。,"(1)浮沉不定，凶吉难分，即因其他运的配合，或者成功，或者沉于失败，故乘吉运者，成功自至，数理不良者，不知不觉之间，陷于失败，其遇不可测，突然别开生面有之，大沉大败，具有侥幸，另外，也有孤独、丧失妻子或配偶、短命。
(2)因喜从事冒险活动，所以一生中会有一、二次大困境，但在最危险关头，总会化险为夷，渡过以后就会一帆风顺，功成名就。然而因心情浮沉不定，为人少有定见，处事抓不到重心，以致亦胜亦败，最后可能招致失败。一生中须靠贵人来帮助方可成功。故应认清目标，贯彻始终才能有所成就。做喜事朝三暮四，又爱冒险投机，过不惯平稳安定生活，在判断上如果一意孤行，容易一夕间可能招致身败名裂。"
31,98,大吉,智勇得志，博得名利，统领众人，繁荣富贵。,春日花开,"智勇德智，可享清福数
首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。
温和运（性情平和、能得上下信望）。",春极（事事象开始，不能坚持下去）、君臣、将星、学士、文昌、田宅、祖业。,可望幸福，子女多荫，地格疲克者则不遇。,三才善良者可望健康，长寿。,此数大吉、名利双收、渐进向上、大业成就。,不劳而获，名利双收、天时地利人和，可成大业。,"(1)智、仁、勇俱备，意志坚固，任（千）挫不挠，脚步踏实，能成就大业的运格，可统率众人，博得名誉，繁荣富贵，幸福、温柔、平静，威力强大的首领运。
(2)为人善于领导，乐于助人，做事总不甘屈居于人下，年轻就容易当上主管或老板。一生财运丰，生活重品味，身体健康良好，如能创业则大吉。为人仁德兼备。有坚定意志能克服困难建立事业，能名利双收，深得得众人拥戴景仰，可享富贵荣华，一生务实进取、努力不懈，能在社会得到好名声与地位。"
32,98,大吉,侥幸多望，贵人得助，财帛如裕，繁荣至上。,宝马金鞍,"饶幸多能的意外惠泽数
富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。
男性双妻运（异性缘旺盛）。
温和运（性情平和、能得上下信望）。",天德、月德、君臣、将星、文官、学士、文昌、进宅、祖业、富翁。,家门隆昌、可望圆满、子孙旺盛、男有双妻之格。,可望健康。（而三才不良者有病患）。,池中之龙、风云际会、一跃上天、成功可望。,祖荫余德、辉煌腾达、财富丰盈、子孙享福。,"(1)侥幸多望之格，若得长辈或上级提拔，其成功势如踊竹。且有品性温良，大有爱护他人之德，家门隆昌，繁荣，至上的吉数。
(2)一生中容易获得长辈上司眷顾与提携，能享受庇荫而成功。唯个性急，无定性，博学而不精，但人际关系较圆满，尚能获得他人之助，要顺利成功并不难。为人诚实，认真努力，一生中也善抓住机会，又有贵人提携，终能获得成功，是为光耀门楣之大吉数。为人比较擅交朋友，精于策划，但执行力较差，须依靠别人提拔、合作才获成功。声望地位佳。"
33,88,吉,旭日升天，鸾凤相会，名闻天下，隆昌至极。,升天(旭日升天),"家门隆昌、才德开展数
富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。",天官、臣将、文昌、学士、田宅、富翁。,可望健康，身强口硬，妇女用则孤独。,可望健康，三才不善或不合先天人格五行者，有病患。,意气用事、人和必失、如能慎始、必可隆昌。,豪侠气质、能说会道，富翁之相。谨慎大起大落。,"(1)鸾凤相会之相，形成确定之相，多功、多威、多智谋，刚毅果断，有如旭日东升，旺盛隆昌至极，属名闻天下的吉运，但如果过刚毅，反至误事，而且过贵重，一般常人承受不起，物极必反、尊荣的反变黑暗。（三才不善良者）女性轻用，用则孤寡。
(2)个性是一个好胜争强之人，永不服输，战斗意志高，总不畏辛劳来达成使命，一生容易功成名就，到哪儿皆能风光。为人性情刚毅，才德兼备，具有勇敢果断之精神，成就事业，也能博得名利之吉祥数，但恐性情过刚毅，且做事武断而招来不利。一生中对别人要求严苛，易起反感，很难结善缘，命运中阻力自然增多；但健康良好，财务也丰，可能很早就能当上主管或老板，不错喔。"
34,60,凶,破家之身，见识短小，辛苦遭逢，灾祸至极。,破家,"破家亡身的见识浅少数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
孤独运（妻不利夫或夫不利妻）。",臣将、君臣、文昌、学士、破财、凶恶、破灭。,家缘薄，妻子疏远，忍耐可保平安。,杀伤、刑罚、脑溢血、麻痹、发狂、短命。三才善良者也可以得安康。,灾难不绝、难望成功、此数大凶、不如更名。,劳累奔波、多劳少得、不聚财，易大起大落。,"(1)属破坏性的大凶兆，离乱的祸象很强，凶煞一到，便接连而来，事业上大凶、大困难、大辛苦、内外破乱，万事不顺重叠而来，衰败，悲痛无限，因其他数的配合关系，有丧失配偶、子女离别、病弱短命、刑伤、或至发狂、灾祸至极，为破家亡身的最大凶数，有的自身为此数或总格者，大成大败，有瞬间全无。
(2)一生中命运坎坷多难，挫折较多，在顺境中，也可能遭逢不测而导致一败涂地；所以须兼具大智大勇之才能，才能渡过重重难关，而至成功，否则容易沉沦惨遭淘汰，此数具有萧条寂寞之意，为人个性倔强，一意孤行，一遇挫折就会心灰意冷，以致无法排解，因之一生郁郁寡欢。此数有六亲缘薄之象，也容易受牵累，或纠缠不清，身体稍差，心情苦闷，常有厌世想法，此数常出英雄烈女。易受制于身体、经济、法律方面的困扰，而困苦不堪。"
35,95,吉,温和平静，智达通畅，文昌技艺，奏功洋洋。,高楼望月,"温柔平静的优雅发展数
吉祥运（表示健全、幸福、名誉等）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。
温和运（性情平和、能得上下信望）。",将相、学士、文昌、艺术、财库、田宅、工商、温柔。,上流家庭，可能圆满。,被天格克者病弱、困苦有之。,中吉之数、进退守保、生意安稳、成就普通。,女性持家兴旺发达，名利双收，男性地利人和、易失天机，财运普通。,"(1)善良和祥之象，有智达的能力，在文艺、技术 方面更能发展，若怀大志，想做大事者，须用最大的气力，彻底的节义，【胆要大，关系上下要分明】，以补不彻底的赋性和权威号召力。因其少胆量气魄，此数实为保守的、平安的吉数，女性最好。男性消极。
(2)脑子中充满创新，为人心地善良、忠厚，但处事消极，个性开朗，能广结善缘，能得朋友贵人相助，一生中也能自给自足。才能好，博学多艺，对文学艺术能获得成就，为人温和，而稍嫌守旧封闭，因此不足为首领格，很多事无法仰赖他人而须自立更生，但如有贵人相助较能成功。此数为保守温和之数，故较适于女性取之。兴趣广泛，学习却不精，虽可成通才，却不易在工作上达到顶尖成就。生活小康，喜欢清闲，善于安排人生，待人谦恭，婚姻美满。"
36,65,凶,波澜重叠，沉浮万状，侠肝义胆，舍己成仁。,波澜(波澜重叠),"风浪不平的枉费心力数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。",将星、学士、文昌、文艺、破厄、凶煞、崩山、劫财。,六亲不得力，夫妻离合，子媳宜退，应多做善事，以多极德。,短命、病患、外伤、废疾，三才善良者可望安康。,波澜重叠、常陷穷困、动不如静、才有保命。,虽有贵助，表里不一，看似富有，实质很苦，一时富有，谨慎大落。,"(1)为波澜重叠，浮沉万状的英雄运。为侠气义情，敦厚舍己成仁之格，一生难得平安，辛苦困难很多，袖手不进则不致有大害，若愈活动愈生波澜，大变动，大衰败，甚至酿成于失败的沦落，与其他运配合不善者，病弱、短命、孤寡、危难等万所不致。（宜静不动，可少灾难。此数变怪，有难时，灾难不断）。
(2)好像很容易遇上不满之事，或无端卷入是非纠纷中，因为人豪爽讲义气及容易管闲事，一生中为人打江山而不求回报，当自己有困难时，却不一定能得到别人帮助，真是舍己为人。为人智谋双全，但缺乏自主性及进取之心，故自己比较无法成事，而为他人谋事，却能获成功。乃有军师之才而无主管之格，如一心想工于心计，容易忧劳成疾。为人爱面子，常为财所苦，真是叫富屋贫人，外华内虚，也易受他人牵累。"
37,95,大吉,权威显达，热诚忠信，宜着雅量，终身荣富。,猛虎出林,"权威显达，发展基业数
首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。
刚情运（性刚固执、意气用事）。",将星、官禄、视部（医士）、文昌、艺术、权威、祖业。,家庭和睦圆满，慎守女德（温柔），则有可望。,长寿多，先天五行或人格被克者，易患疾病，少数为心脏病。,逢凶化吉、吉人天相、以听取众、必成大功。,可得余荫、德高望重，财富普通，如能进取，荣华富贵。,"(1)独立、单行、权威、忠实、奉劝、无比之势，和畅通达，热情忠烈，消重病，破万难而成大业，慈祥有德，善于发挥才能，享受天福之幸，终身富荣之极，但因权威独行，而难免有孤独之感，宜养雅量，留神和平。
(2)一生做事恩怨分明，遇事能突破万难，如创业也能成功，算是智仁勇三全。财运丰厚，易受别人尊敬；当遇上困难时，能激起不屈不挠的精神，能以德服人，而得到声望。为人忠诚，言行合一，且具有独立的气魄，应可顺利发展获得成功。但此数理含有刚毅之数，故宜涵养德性，否则有损吉祥。是一个天生主管的格局，年轻时易当老板，待人宽厚，重生活享受，慷慨大方，也受尊敬及多数人欢迎。"
38,67,半吉,意志薄弱，刻意经营，才识不凡，技艺有成。,磨铁成针,"意志薄弱的刻决心数
次吉祥运（表示多少有些障碍，但能获得吉运）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。",将星、学士、臣将、神童、技艺、凶煞、伤害。,亲情冷淡、兄弟无助、宜平和可圆满。,灾祸、外伤、肺病，三才善良者尚可安康。,名虽可得、利则难获、艺界发展、可望成功。,官运亨通、清廉高升，财运普通，子孙享福，否则落魄。,"(1)非无大志，实乏统率的威望，缺乏首领的才干，屈于有志而乏其力，不得众信，一种薄弱平凡之相，自然易陷于不幸失意而难以成功。但文学、技艺方面发展，则有较强的上进能力，故此数是艺术成功数。
(2)生来聪明且博学多闻，做事也脚踏实地，但意志稍嫌薄弱，以致荒废事业而自失前程。一生精通研究策划、艺术，在学术方面有发展潜能，但执行力稍嫌不足，不适担任主管职位，如勉强领导则会力不从心，难成大事。因意志薄弱难以贯彻志望，虽具才学，但未能量力而为，有好高骛远倾向，以致一生平平凡凡到老亦难有成就。"
39,89,吉,富贵荣华，财帛丰盈，暗藏险象，德泽四方。,富贵(富贵荣华),"富贵荣华的变化无穷数
首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。
男性双妻运（异性缘旺盛）。",臣将、文昌、艺术、智能、财库、进田、富翁、突变。,安宁自在，可望圆满，后代旺盛，三才不善良者则不圆满。,可望安康、三才不善者有病弱。,云开见月、虽有劳碌、光明坦途、指日可望。,额外收入，可成巨富，子孙享福，谨慎灾难，发达到老。,"(1)此数为祸乱一过，反成幸福贵重之格。权威、长寿、财帛丰富，德泽四方，财富盈身，富贵致极，暗藏着悲惨的凶象，所谓物极必反，切轻用之，妇女若有此数者必陷于孤寡，富极生悲，一般常人受不起，先灾而过得了，即有后福，先好而后惨，短命、病弱、残废。
(2)一生中精力充沛，多才多艺，个性积极活泼，社交能力强，容易成为杰出政治家或企业家。此乃贵气之数，有否极泰来，富贵、长寿集于一身之象，是为众所钦佩之数。但有时会物极必反，阳生阴，阴生阳，乱了磁场，不能不谨慎。用钱很大方，恩怨分明，容易被评为爱出风头，个性急，在平稳中显不出威力，当面临困苦时，反而易成就功名。"
40,45,凶,智谋胆力，冒险投机，沉浮不定，退保平安。,退安,"谨慎保安的豪胆迈进数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。",将星、学士、文昌、豪杰、胆量、凶灾、厄祸、劫财。,亲情疏远。兄弟分离。,凶病、胃病、外伤、残废、短命、三才善良者可弥补。,一成一败、浮沉不定、知难而退、自获天佑。,有财不多，得一花二，如有大财，必有大落。,"(1)富智谋，有威望，然含不逊之心，（不存好心）。乏威望，易受诽谤攻击，处于浮沉、吉凶的岐路上，好冒险投机，依其他运关系，有酿成刑伤罪者，有陷入病弱、短命、孤独者等，有发奋图强者反招失败者，故此数为进展而招灾祸。退之仅保稍安的运数。
(2)一生中才智聪明，理想过高，对任何事都充满兴趣，但就是不易持久，也不易达到应有荣耀，若能安守本份，一生则可保平安。为人足智多谋，胆识过人，骄傲不逊，易受抨击，因之缺乏威望，一生也喜好冒险，投机取巧，为不吉之数。理想抱负多，也能积极进取，但最后成功的事业，往往不是自己原先的愿望，一生财禄虽不错，但出手大方，喜好排场，易生失败，要好好改进。"
41,98,大吉,纯阳独秀，德高望重，和顺畅达，博得名利。此数为最大好运数。,有德,"德高望重的事事如意数
首领运（智慧仁勇、立上位、能领导众人）。
富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。
男性双妻运（异性缘旺盛）。",将星、太极、名人、学者、学士、官禄、财库、福星。,家庭圆满，子孙旺盛，地格被克害者不遇。,可望健康长寿，三才不善者不遇。,天赋吉运、德望兼备、继续努力、前途无限。,天时地利人和，德高望重，事业很好，财富中层、子孙享受。,"(1)纯阳独秀的吉数，胆力、才谋具备，健全、有德、和顺、能成大气大业。博得名利的最大好运数。
(2)为人宽厚，男性之最吉数。为人处事光明正大，肚量宽大且朋友多，智仁勇兼备，英雄出少年。上司及部属多为贵人，一生道途平顺，有如明月当空，心地善良。为人慈祥，才智胆识都有，向上前进，能成大事业博得好名利之吉祥数。"
42,66,凶,博识多能，精通世情，如能专心，尚可成功。,寒蝉在柳,"数十艺九不成的穷困数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。",君臣、部将、官星、文昌、劫煞、灾厄、凶变。,亲情无义、朋友无缘、妻子反目、三才善良者则无妨。,病弱、病危、或者伤残。须三才善良者可得安康。,事业不专、十九不成、专心进取、可望成功。,多才多艺、很难赚钱，如果消极、一贫如洗。,"(1)博识多能、有技术、精通世情。无奈十艺九不成，多薄弱、不如意，缺少自信心，为寂寞悲苦之象。失意之态，如果专心进取，也可以成功，或不然必是大失败，此数中也有孤独、病弱者。多艺不成必是穷。
(2)虽聪明灵巧，但有一意孤行的倾向，一生想追求超乎现实的愿景，但不一定能成功，此个性适合做研究、开发工作。一生兴趣多，博学而不精，热心但不易持久，心地善良乐助人，交游广阔，能得人助且多才多艺，博得虚名。唯缺乏恒心毅力，做事不专一，多才少成，中年后恐怕会陷入逆境，为人具有感伤的气氛，宜培养文艺方面，潜心钻研当有所成就。"
43,52,凶,散财破产，诸事不遂，虽有智谋，财来财去。,散财(散财破产),"须防邪途的灾害加重数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。",将相、文星、艺术、学者、凶星、灾厄、伤残。,妻弱无助，子多不孝，心心相印，三才善良者无妨。,病弱、外伤、短命、三才善良者可平安。,雨夜之花，外祥内苦，忍耐自重，转凶为安。,挥金如土、落魄之相，即使发达，一夜清光。,"(1)散财破产运，因循姑息，有如夜雨之花，薄弱散漫之象，虽有才能知识，但意力不确实，诸事不能逐行，外观幸福，内多困苦，表现俨然成事，里面不堪设想，如果妇女有此数，再加上其他格的关系，易陷入荒淫而不能善终。
(2)给人感觉注重生活品味，一生中桃花多，为人责任心重，做事认真积极，为人恩怨分明，主观强，很容易一意孤行。用钱很大方，恋爱机会多，容易为情所困，虽能建立一时爱情，但基础不够坚稳，难免功败垂成。为人稍具才能，巧饰外表，掩藏劣点，如常故弄玄虚，终会露出马脚，因之失去信誉，宜脚踏实地，实事求是，才能有所成就。"
44,55,凶,破家亡身，暗藏惨淡，事不如意，乱世怪杰。,烦闷,"愁眉难展的力量有限数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。",文昌、学士、财库、灾厄。,骨肉相疏，兄弟不和，能忍者平和 。,发狂，刑罚，病灾，烦闷，遭难，短命。三才善良者可望安康。,虽用心计，事难逐愿，贪功好进，必招失败。,累死累活，收入微薄，聪明过头，落魄人生。,"(1)家破亡身的最大恶数，暗藏惨淡非运，破坏、离乱之意，因此万事不能如意，逆境、烦闷、劳苦、病患、废疾，遭难，家属则生离死别，或因其他运的关系而发狂短命，但乱世出的怪杰，伟人，烈士，孝子，大发明等也出自此数。
(2)思想上感觉怪异，为人也超现实，不擅交际，金钱支配比较无计划，心中有理想，宁舍弃安逸享乐生活而去追求，以致精神生活不安，有时为人意志消沉，缺乏动力，故诸事不顺，多遇失败，以致身体病弱。中年后有发狂之象。但数理中，有隐名之怪杰、伟人、烈士、孝子或节妇也有出自此数。是一个爱憎分明，一生获得少，帮助也少之数理，一生经历漫长艰苦奋斗，很难一夜之间成功。"
45,98,大吉,新生泰和，顺风扬帆，智谋经纬，富贵繁荣。,顺风,"新生泰和的万事如意数
首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。",部将，军臣，文昌，学士，艺术。,可望圆满，子孙昌盛，三才不善者不遇。,安康长寿，人格被克者不遇。,杨柳遇春，绿叶发枝，冲破难关，一举成名。,天时地利人和，一帆风顺，名利双收。,"(1)顺风扬帆子象，经纬深，智谋大，可成大业，克服万难，而成功，富贵繁荣至极。但若与其他运的凶数结合，即如浪中失舵之船，易遭灾难。
(2)此数温和大方且人缘佳，很受别人欢迎，看来性格较被动，容易获得贵人帮助与提拔，因兴趣多，但耐性差，所以常常是先苦后甘，出身虽不好，但能立定志业，善用智慧，有一切操之在我的决心，最后终有所成就。但时运差时，有时常遇事不做决定，就错失良机，若与运强者合伙共事，较易施展才华，为人好面子，不计较小事，算是不错之格。"
46,48,凶,载宝沉舟，浪里淘金，大难尝尽，大功有成。,浪里淘金,"须防复失的离祖破家数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。",臣将，将星，学士，豪杰，文昌;凶厄，破财。崩山。,亲多而乏子媳，三才善良者可弥补。,刑罚，病弱，短命，外伤，暗伤，三才善良者可望健全。,坎坷不平，难难重叠，若无耐心，难望有成。,黄粱美梦、好景不长，一觉醒来，见到阎王。异常富翁，也是有之。,"(1)载宝沉舟之象，乏力薄弱，悲哀，困难，辛苦，破坏性失败者多，然而属一类变怪的命运，有大艰苦尝尽后而成功者，或依其他运的关系。致到外陷孤独，刑罚，病患等灾祸。总之，是难免于不幸的命运。
(2)此数为独立不怕艰苦之数，但此生工作事业不顺，常遭变数而功败垂成，为人意志薄弱，较易逢挫折，也易步入歧途，而身陷牢狱。一生难入顺境，家族及六亲缘薄，事业失败等不幸，应以服务心为重，方可转为幸运。须自立更生才能得财，一生中难得到意外之财，能适应任何环境，当得意时，却又容易受别人牵累或身体疾病的打击，而必须从头再起。"
47,98,大吉,花开之象，万事如意，祯祥吉庆，天赋幸福。,点石成金,"开花结果的权威进取数
首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。
刚情运（性刚固执、意气用事）。",君臣，将星，文昌，学士，艺术，高傲，食禄，财库。,家庭圆满，然时有争执，三才善良者和睦相处。,可望健康长寿，三才不善者，也有病弱，，短寿的可能。,有贵有助，可成大业，虽有不幸，浮沉不定。,伯乐之相，名气很旺，谨慎行事，子孙享福。,"(1)开花之相，祯祥吉庆之数，可享天赋的幸福，与朋友合作成大事大业。真是进可攻，退可以守，可造福于子孙的吉运。
(2)一生中平顺度日，凡事能心想事成，人际关系和谐，偶遇困难，贵人会来协助，在生活过程中，常能逢凶化吉，做事总能脱颖而出，凡事刚开始时有拘束不如意，但时机成熟时，自能出人头地，家庭美满，子孙贤孝之大吉数。一生交际广，乐于助人，虽花费大，但财运丰，对部属宽厚，擅长为人排解纠纷，在外人缘特好。"
48,95,吉,智谋兼备，德量荣达，威望成师，洋洋大观。,青松立鹤(古松立鹤),"德智兼备的出身清贵数
吉祥运（表示健全、幸福、名誉等）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。",将星，官禄，文昌，学士，技艺，财库。,家庭圆满，三才不善者不遇。,良好，可望长寿，三才不合者不遇。,美化丰实、鹤立鸡群、名利俱全、繁荣富贵。,辉煌腾达、名利双收、荣华富贵、富甲一方。,"(1)才能谋略齐备，有德量，含坚刚，为功，利荣达的吉数，宜为人的顾问，威望洋洋，乃为师表。
(2)此数为容易间接掌握大权，做事能脚踏实地，虽不出名，但负重任，为幕后功臣。一生专精策划与协调，是一个足智多谋之人，是为军师之格。但为人性情镇静，略近消极，是一个有计划、有策略之人才。最好做谋士、顾问之工作，很适合与果敢勇断之士合作。一生贵人多，能受器重、受提拔，而得以一展长才，乐于助人，外缘好，重享受，用钱大方，财虽多，但开销也颇大。"
49,48,半吉,吉临则吉，凶来则凶，转凶为吉，配好三才。,转变,"凶吉难分的不断辛苦数
次吉祥运（表示多少有些障碍，但能获得吉运）。",将星，文昌，智谋，学士，凶星，散财，巨富,六亲不得力，子媳宜迟。,凶灾，病患，外伤，短命，三才善良者可弥补长寿。,遇吉则吉、遇凶则凶、惟靠谨慎、逢凶化吉。,财富上门，两袖清风，可望发达，反之落魄流亡。,"(1)处于吉凶的歧路，吉临则大吉，凶来则又来大凶，所以成败极其浩大，有处大凶而其他方面化吉者，其幸福与不幸福，专靠三才的配合的好坏，以及其运的关系显现，但多陷于灾祸，是大失败者或是大成功之人。
(2)此数为一生如浮萍，居无定所，多生变动，生活容易陷入苦闷，创业过程总徘徊在不安定中，意识主观强，恩怨分明，性急缺耐性，做事常常半途而废，一生很难得到别人帮助。此数为忽东忽西，时南时北，飘动不定，是为吉凶不定之数。平常如不知开源节流，常为钱苦。"
50,56,凶,一成一败，吉凶参半，先得庇荫，后遭凄惨。,小舟进海(小舟入海),"吉凶参半，须防倾覆数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。",将官，文昌，财钱，灾厄，离别，散财，,亲眷多而无助，靠自己的努力而奋斗。,刑罚，杀伤，意外之灾，外伤。白痴。狂癫等疾，三才善良者无妨。,吉凶互见、一成一败、凶中有吉、吉中有凶,贪功好进，必有大落，讲信修和、也可发达。,"(1)成（为）一败之象，先得（五）字的数理庇荫，而成大功，享受富贵后（三才凶数被制服可望成功）。由盈数（凡十位数）的暗示诱导而陷于失败，甚至，亡身破家于晚年，凄惨至极，若其他运又有凶数者，则是惨上加惨，杀伤，离愁，孤寡频临，甚至于刑罚，
(2)此数容易在巅峰时突然走下坡路，一切好景不常，凡事应退守为吉，持盈保泰，以维持良好局面。一生温和谦虚待人，评价甚高，贵人多助，容易成名，但往往因自满又一意孤行，而尝到失败，幸贵人多助，才能够东山再起，为人外表上，看似有魄力，而内心却柔弱，易走投机路线，易造成好景不常。似会有六亲缘薄、亲人易分离、事业失败等之象，如以道德为重，或许能转为幸运。"
51,66,半吉,盛衰交加，波澜重叠，如能慎始，必获成功。,浮沉(沉浮),"盛衰交加的竭力经营数
次吉祥运（表示多少有些障碍，但能获得吉运）。",文昌，学士，节度，时禄，劫煞，败退。,时有争执，宜守和平，三才善良者可得圆满。,人格被克者（及反克者），灾厄病患，三才善良者安康自在。,一盛一衰、浮沉无常、自重自处、可保平安,天时地利，人和不佳，一时财富，中途挫折。,"(1)一盛一衰之象，必然可得昌盛，博得一时名利，然后发现运中自然的凶兆。到晚年出挫折，困苦，逐至失败。
(2)此数为理想高，能奋力达成愿望不畏辛苦，能少年得志享有声望，对部属要求甚严之数，人生较不擅处理人际关系，如不妥善处理，容易阳、阴互克，物极必反，产生乐极生悲之象。早年就可享天赋异秉福份，无奈于中年后即陷入落魄困苦之境遇。为人性刚、骄傲，易失人和，请好自为之，一生若能独立奋斗就能事业有成，因为不重享受，把工作当娱乐，能享受工作乐趣陶醉在其中。"
